nome,pais,latitude,longitude,real,tipo,cidade_mais_proxima,distancia_km,categoria
Taumarunui,NZ,-38.8833,175.2667,Sim,cidade,Te Kuiti,65,cidade
Udo Island,KR,33.5067,126.9500,Sim,ilha,Jeju City,35,ilha
Narsaq,GL,60.9167,-46.0500,Sim,cidade,Narsarsuaq,45,cidade
Skógar,IS,63.5333,-19.5000,Sim,vila,Hvolsvöllur,25,vila
Supetar,HR,43.3833,16.5500,Sim,cidade,Split,20,cidade
Ourika Valley,MA,31.2333,-7.7833,Sim,vale,Marrakech,35,vale
Kilmallock,IE,52.4000,-8.5667,Sim,cidade,Limerick,30,cidade
Gränna,SE,58.0167,14.4667,Sim,cidade,Jönköping,40,cidade
Arvidsjaur,SE,65.5833,19.1667,Sim,cidade,Luleå,160,cidade
Farellones,CL,-33.3508,-70.3139,Sim,estação de esqui,Santiago,36,estação de esqui
Twizel,NZ,-44.2500,170.0833,Sim,cidade,Omarama,50,cidade
Waipara,NZ,-43.0500,172.7500,Sim,cidade,Christchurch,60,cidade
Ranfurly,NZ,-45.1333,170.1000,Sim,cidade,Dunedin,110,cidade
Dargo,AU,-37.4667,147.2500,Sim,cidade,Bairnsdale,80,cidade
Valle Nevado,CL,-33.3500,-70.2500,Sim,estação de esqui,Santiago,60,estação de esqui
La Parva,CL,-33.3167,-70.2833,Sim,estação de esqui,Santiago,50,estação de esqui
Y Ty,VN,22.6000,103.8500,Sim,vila,Lao Cai,80,vila
Mount Lemongan,ID,-8.0167,113.3333,Sim,vulcão,Probolinggo,40,vulcão
Simunul,PH,5.8000,120.8500,Sim,município,Bongao,30,município
Talbingo,AU,-35.5667,148.3000,Sim,cidade,Tumut,45,cidade
Kosciuszko National Park,AU,-36.0722,148.3486,Sim,parque nacional,Jindabyne,30,parque nacional
Bergslagen trail,SE,59.5000,14.5000,Sim,trilha,Örebro,50,trilha
Kurjenrahka National Park,FI,60.7206,22.3836,Sim,parque nacional,Turku,30,parque nacional
Padjelantaleden,SE,67.7182,17.4714,Sim,trilha,Kvikkjokk,0,trilha
Wasur National Park,ID,-8.5000,140.8333,Sim,parque nacional,Merauke,30,parque nacional
Mokala National Park,ZA,-29.1667,24.5000,Sim,parque nacional,Kimberley,80,parque nacional
Laugavegur,IS,63.9833,-19.0667,Sim,trilha,Þórsmörk,0,trilha
Rangitoto Island,NZ,-36.7833,174.8667,Sim,ilha,Auckland,25,ilha
Tiritiri Matangi Island,NZ,-36.6000,174.8833,Sim,ilha,Auckland,30,ilha
Mount Gede Pangrango National Park,ID,-6.7833,106.9833,Sim,parque nacional,Bogor,40,parque nacional
Bruce Peninsula National Park,CA,45.2500,-81.5000,Sim,parque nacional,Owen Sound,50,parque nacional
Sirmilik National Park,CA,73.0000,-81.0000,Sim,parque nacional,Pond Inlet,80,parque nacional
Ivvavik National Park,CA,69.0000,-140.0000,Sim,parque nacional,Inuvik,100,parque nacional
Mealy Mountains National Park,CA,53.5000,-58.0000,Sim,parque nacional,Happy Valley-Goose Bay,50,parque nacional
Tuktut Nogait National Park,CA,68.5000,-122.0000,Sim,parque nacional,Paulatuk,30,parque nacional
Paparoa National Park,NZ,-42.1000,171.3333,Sim,parque nacional,Greymouth,30,parque nacional
Eungella National Park,AU,-21.1333,148.5000,Sim,parque nacional,Mackay,80,parque nacional
Vinicunca,PE,-13.8667,-71.2833,Sim,montanha,Cusco,90,montanha
Riung,ID,-8.4167,121.0333,Sim,cidade,Bajawa,60,cidade
Hotel Memling,DRC,-4.30434,15.31223,Sim,hotel,Kinshasa,0,hotel
Cecil Hotel,Egypt,31.20073,29.89847,Sim,hotel,Alexandria,0,hotel
Cairo Marriott,Egypt,30.05682,31.22448,Sim,hotel,Cairo,0,hotel
Marriott Mena House,Egypt,29.98586,31.13275,Sim,hotel,Giza,0,hotel
Sofitel Winter Palace,Egypt,25.6965,32.63737,Sim,hotel,Luxor,0,hotel
Sofitel Legend Old Cataract,Egypt,24.0821,32.8873,Sim,hotel,Aswan,0,hotel
Fairmont The Norfolk,Kenya,-1.27834,36.81583,Sim,hotel,Nairobi,0,hotel
La Mamounia,Morocco,31.62193,-7.99771,Sim,hotel,Marrakech,0,hotel
Polana Serena Hotel,Mozambique,-25.96905,32.5972,Sim,hotel,Maputo,0,hotel
Mount Nelson Hotel,South Africa,-33.93209,18.41167,Sim,hotel,Cape Town,0,hotel
The Royal Hotel,South Africa,-33.38326,18.89645,Sim,hotel,Riebeek-Kasteel,0,hotel
The Arusha Hotel,Tanzania,-3.37317,36.69447,Sim,hotel,Arusha,0,hotel
Hotel Majestic,Tunisia,36.80444,10.18000,Sim,hotel,Tunis,0,hotel
The Victoria Falls Hotel,Zimbabwe,-17.9307,25.8426,Sim,hotel,Victoria Falls,0,hotel
The Peninsula,Hong Kong,22.29529,114.17153,Sim,hotel,Hong Kong,0,hotel
The Grand Hotel,Taiwan,25.07733,121.52578,Sim,hotel,Taipei,0,hotel
Peace Hotel,China,31.24108,121.48458,Sim,hotel,Shanghai,0,hotel
Taj Mahal Palace Hotel,India,18.922,72.8333,Sim,hotel,Mumbai,0,hotel
Raffles Hotel,Singapore,1.29457,103.85401,Sim,hotel,Singapore,0,hotel
Imperial Hotel Tokyo,Japan,35.67239,139.75891,Sim,hotel,Tokyo,0,hotel
Hotel Okura Tokyo,Japan,35.66694,139.74417,Sim,hotel,Tokyo,0,hotel
Westin Josun Seoul,South Korea,37.56447,126.98004,Sim,hotel,Seoul,0,hotel
The Shilla Seoul,South Korea,37.566,126.9784,Sim,hotel,Seoul,0,hotel
Grand Hotel Beijing,China,39.91522,116.41362,Sim,hotel,Beijing,0,hotel
Taj West End,India,12.98453,77.58458,Sim,hotel,Bangalore,0,hotel
The Imperial New Delhi,India,28.62451,77.21725,Sim,hotel,Delhi,0,hotel
Galle Face Hotel,Sri Lanka,6.92061,79.84608,Sim,hotel,Colombo,0,hotel
Mandarin Oriental Bangkok,Thailand,13.72361,100.51444,Sim,hotel,Bangkok,0,hotel
Hotel Metropole,Belgium,50.85139,4.35361,Sim,hotel,Brussels,0,hotel
Claridge's,England,51.5125,-0.1475,Sim,hotel,London,0,hotel
Shelbourne Hotel,Ireland,53.3403,-6.2527,Sim,hotel,Dublin,0,hotel
Hotel Ritz Paris,France,48.8683,2.3289,Sim,hotel,Paris,0,hotel
Hotel de Crillon,France,48.8673,2.3214,Sim,hotel,Paris,0,hotel
Amstel Hotel,Netherlands,52.3625,4.9053,Sim,hotel,Amsterdam,0,hotel
Savoy Hotel,England,51.5101,-0.1203,Sim,hotel,London,0,hotel
The Ritz London,England,51.5073,-0.1419,Sim,hotel,London,0,hotel
The Langham London,England,51.5168,-0.1435,Sim,hotel,London,0,hotel
The Balmoral,Scotland,55.9533,-3.1892,Sim,hotel,Edinburgh,0,hotel
Hotel Imperial Vienna,Austria,48.2017,16.3764,Sim,hotel,Vienna,0,hotel
Hotel Sacher,Austria,48.2042,16.3719,Sim,hotel,Vienna,0,hotel
Grandhotel Pupp,Czech Republic,50.2258,12.8803,Sim,hotel,Karlovy Vary,0,hotel
Hotel Adlon Berlin,Germany,52.5158,13.3775,Sim,hotel,Berlin,0,hotel
Bayerischer Hof,Germany,48.1417,11.5736,Sim,hotel,Munich,0,hotel
Hotel Gellert,Hungary,47.4833,19.0533,Sim,hotel,Budapest,0,hotel
Beau Rivage,Switzerland,46.2083,6.1556,Sim,hotel,Geneva,0,hotel
Badrutt's Palace,Switzerland,46.4978,9.8389,Sim,hotel,St. Moritz,0,hotel
Hotel Grande Bretagne,Greece,37.9763,23.7353,Sim,hotel,Athens,0,hotel
Hotel de Paris,Monaco,43.7392,7.4256,Sim,hotel,Monaco,0,hotel
Reid's Palace,Portugal,32.6478,-16.9078,Sim,hotel,Funchal,0,hotel
Pera Palace,Turkey,41.0258,28.9742,Sim,hotel,Istanbul,0,hotel
Grand Hotel Yerevan,Armenia,40.1833,44.5167,Sim,hotel,Yerevan,0,hotel
Hotel National,Russia,55.7575,37.6139,Sim,hotel,Moscow,0,hotel
Hotel Ukraina,Russia,55.7517,37.5661,Sim,hotel,Moscow,0,hotel
Grand Hotel Europe,Russia,59.9343,30.3356,Sim,hotel,St. Petersburg,0,hotel
Hotel Astoria,Russia,59.935,30.3139,Sim,hotel,St. Petersburg,0,hotel
Lord Nelson Hotel,Canada,44.6442,-63.575,Sim,hotel,Halifax,0,hotel
Le Chateau Frontenac,Canada,46.8118,-71.205,Sim,hotel,Quebec City,0,hotel
The Royal York,Canada,43.6456,-79.3805,Sim,hotel,Toronto,0,hotel
Banff Springs Hotel,Canada,51.1658,-115.5556,Sim,hotel,Banff,0,hotel
Chateau Lake Louise,Canada,51.4167,-116.2167,Sim,hotel,Lake Louise,0,hotel
The Empress Hotel,Canada,48.4217,-123.3681,Sim,hotel,Victoria,0,hotel
Hotel Nacional de Cuba,Cuba,23.1417,-82.3569,Sim,hotel,Havana,0,hotel
The Beverly Hills Hotel,USA,34.0811,-118.4139,Sim,hotel,Beverly Hills,0,hotel
Parker House Hotel,USA,42.3583,-71.0594,Sim,hotel,Boston,0,hotel
The Drake Hotel,USA,41.8917,-87.6247,Sim,hotel,Chicago,0,hotel
Palmer House,USA,41.8814,-87.625,Sim,hotel,Chicago,0,hotel
Waldorf Astoria New York,USA,40.7567,-73.9742,Sim,hotel,New York,0,hotel
The Plaza,USA,40.7642,-73.9735,Sim,hotel,New York,0,hotel
St. Regis New York,USA,40.7608,-73.9736,Sim,hotel,New York,0,hotel
Fairmont San Francisco,USA,37.7922,-122.4106,Sim,hotel,San Francisco,0,hotel
The Greenbrier,USA,37.7833,-80.3,Sim,hotel,White Sulphur Springs,0,hotel
Alvear Palace Hotel,Argentina,-34.5875,-58.3825,Sim,hotel,Buenos Aires,0,hotel
Copacabana Palace,Brazil,-22.9667,-43.1789,Sim,hotel,Rio de Janeiro,0,hotel
Gran Hotel Bolivar,Peru,-12.05,-77.0333,Sim,hotel,Lima,0,hotel
Hotel Windsor,Australia,-37.8136,144.9631,Sim,hotel,Melbourne,0,hotel
Grand Pacific Hotel,Fiji,-18.1417,178.4417,Sim,hotel,Suva,0,hotel
Eichardt's Hotel,New Zealand,-45.0317,168.6628,Sim,hotel,Queenstown,0,hotel
Beijing Hotel NUO,China,39.9042,116.4074,Sim,hotel,Beijing,0,hotel
Park Hotel Shanghai,China,31.23367,121.47158,Sim,hotel,Shanghai,0,hotel
Astor Hotel Tianjin,China,39.12096,117.21644,Sim,hotel,Tianjin,0,hotel
Nikko Kanaya Hotel,Japan,36.75204,139.60414,Sim,hotel,Nikko,0,hotel
King David Hotel,Israel,31.77444,35.2225,Sim,hotel,Jerusalem,0,hotel
American Colony Hotel,Israel,31.785,35.225,Sim,hotel,Jerusalem,0,hotel
The Drisco,Israel,32.056,34.76,Sim,hotel,Tel Aviv,0,hotel
Taj Connemara,India,13.06,80.27,Sim,hotel,Chennai,0,hotel
The Great Eastern Hotel,India,22.5726,88.3639,Sim,hotel,Kolkata,0,hotel
The Oberoi Grand,India,22.56,88.35,Sim,hotel,Kolkata,0,hotel
Maidens Hotel,India,28.65,77.22,Sim,hotel,Delhi,0,hotel
The Cecil Shimla,India,31.1,77.17,Sim,hotel,Shimla,0,hotel
Faletti's Hotel,Pakistan,31.56,74.31,Sim,hotel,Lahore,0,hotel
Queen's Hotel,Sri Lanka,7.29,80.63,Sim,hotel,Kandy,0,hotel
Eastern and Oriental,Malaysia,5.42,100.34,Sim,hotel,George Town,0,hotel
Hotel Majapahit,Indonesia,-7.25,112.73,Sim,hotel,Surabaya,0,hotel
Strand Hotel,Myanmar,16.78,96.15,Sim,hotel,Yangon,0,hotel
Savoy Homann,Indonesia,-6.92,107.61,Sim,hotel,Bandung,0,hotel
The Metropole Hanoi,Vietnam,21.02,105.85,Sim,hotel,Hanoi,0,hotel
Continental Hotel,Vietnam,10.77,106.7,Sim,hotel,Ho Chi Minh City,0,hotel
Majestic Saigon,Vietnam,10.77,106.7,Sim,hotel,Ho Chi Minh City,0,hotel
Morin Hotel,Vietnam,16.46,107.58,Sim,hotel,Hue,0,hotel
Grand Inna Medan,Indonesia,3.59,98.67,Sim,hotel,Medan,0,hotel
Hotel Indonesia,Indonesia,-6.19,106.82,Sim,hotel,Jakarta,0,hotel
Hotel Majestic,Malaysia,3.14,101.69,Sim,hotel,Kuala Lumpur,0,hotel
The Manila Hotel,Philippines,14.58,120.98,Sim,hotel,Manila,0,hotel
Le Royal Phnom Penh,Cambodia,11.56,104.92,Sim,hotel,Phnom Penh,0,hotel
Grand Hotel d'Angkor,Cambodia,13.36,103.86,Sim,hotel,Siem Reap,0,hotel
Goodwood Park Hotel,Singapore,1.31,103.83,Sim,hotel,Singapore,0,hotel
Settha Palace Hotel,Laos,17.97,102.61,Sim,hotel,Vientiane,0,hotel
Hotel D'Angleterre,Denmark,55.68,12.58,Sim,hotel,Copenhagen,0,hotel
Hotel Kämp,Finland,60.17,24.95,Sim,hotel,Helsinki,0,hotel
Grand Hotel Oslo,Norway,59.91,10.74,Sim,hotel,Oslo,0,hotel
Grand Hôtel,Sweden,59.33,18.07,Sim,hotel,Stockholm,0,hotel
Kurhaus,Netherlands,52.11,4.28,Sim,hotel,Scheveningen,0,hotel
St. Pancras Renaissance,England,51.53,-0.13,Sim,hotel,London,0,hotel
The Midland,England,53.48,-2.24,Sim,hotel,Manchester,0,hotel
Grand Central Hotel,Scotland,55.86,-4.26,Sim,hotel,Glasgow,0,hotel
Hotel Paris,Czech Republic,50.08,14.42,Sim,hotel,Prague,0,hotel
Art Nouveau Palace Hotel,Czech Republic,50.08,14.43,Sim,hotel,Prague,0,hotel
Corinthia Hotel,Hungary,47.5,19.06,Sim,hotel,Budapest,0,hotel
Hotel George,Ukraine,49.84,24.03,Sim,hotel,Lviv,0,hotel
Bristol Hotel,Ukraine,46.48,30.74,Sim,hotel,Odesa,0,hotel
Mount Washington Hotel,USA,44.26,-71.44,Sim,hotel,Bretton Woods,0,hotel
The Peabody Memphis,USA,35.14,-90.05,Sim,hotel,Memphis,0,hotel
The Pfister Hotel,USA,43.04,-87.91,Sim,hotel,Milwaukee,0,hotel
Hermitage Hotel,USA,36.16,-86.78,Sim,hotel,Nashville,0,hotel
Hotel Monteleone,USA,29.95,-90.07,Sim,hotel,New Orleans,0,hotel
Mohonk Mountain House,USA,41.77,-74.15,Sim,hotel,New Paltz,0,hotel
Algonquin Hotel,USA,40.76,-73.98,Sim,hotel,New York,0,hotel
The Breakers,USA,26.71,-80.04,Sim,hotel,Palm Beach,0,hotel
Omni William Penn,USA,40.44,-79.99,Sim,hotel,Pittsburgh,0,hotel
Hotel del Coronado,USA,32.68,-117.18,Sim,hotel,San Diego,0,hotel
Fairmont San Francisco,USA,37.79,-122.41,Sim,hotel,San Francisco,0,hotel
La Fonda,USA,35.69,-105.94,Sim,hotel,Santa Fe,0,hotel
The Greenbrier,USA,37.78,-80.3,Sim,hotel,White Sulphur Springs,0,hotel
Ahwahnee Hotel,USA,37.75,-119.57,Sim,hotel,Yosemite,0,hotel
Lord Elgin Hotel,Canada,45.42,-75.69,Sim,hotel,Ottawa,0,hotel
Ritz-Carlton Montreal,Canada,45.5,-73.57,Sim,hotel,Montreal,0,hotel
The Pines,Canada,44.62,-65.76,Sim,hotel,Digby,0,hotel
The Algonquin Resort,Canada,45.07,-67.05,Sim,hotel,Saint Andrews,0,hotel
Le Manoir Richelieu,Canada,47.65,-70.15,Sim,hotel,La Malbaie,0,hotel
The Château Laurier,Canada,45.43,-75.7,Sim,hotel,Ottawa,0,hotel
Fort Garry Hotel,Canada,49.89,-97.14,Sim,hotel,Winnipeg,0,hotel
Hotel Saskatchewan,Canada,50.45,-104.61,Sim,hotel,Regina,0,hotel
The Bessborough,Canada,52.13,-106.66,Sim,hotel,Saskatoon,0,hotel
The Hotel MacDonald,Canada,53.54,-113.49,Sim,hotel,Edmonton,0,hotel
The Palliser Hotel,Canada,51.05,-114.06,Sim,hotel,Calgary,0,hotel
Jasper Park Lodge,Canada,52.88,-118.08,Sim,hotel,Jasper,0,hotel
The Hotel Vancouver,Canada,49.28,-123.12,Sim,hotel,Vancouver,0,hotel
Tokyo Station Hotel,Japan,35.6812,139.7671,Sim,hotel,Tokyo,0,hotel
Nara Hotel,Japan,34.685,135.8049,Sim,hotel,Nara,0,hotel
Fujiya Hotel,Japan,35.24424,139.05912,Sim,hotel,Hakone,0,hotel
Hotel Palmyra,Lebanon,34.0034,36.2045,Sim,hotel,Baalbek,0,hotel
Hotel Phoenicia,Malta,35.8955,14.50703,Sim,hotel,Valletta,0,hotel
Pestana Palace,Portugal,38.70375,-9.1868,Sim,hotel,Lisbon,0,hotel
El Palace,Spain,41.3851,2.1734,Sim,hotel,Barcelona,0,hotel
Hotel Alfonso XIII,Spain,37.38222,-5.99222,Sim,hotel,Seville,0,hotel
Splendid Palace,Turkey,40.8729,29.12633,Sim,hotel,Büyükada,0,hotel
Atlantic Grand Hotel Travemünde,Germany,53.96495,10.87932,Sim,hotel,Travemünde,0,hotel
1886 Crescent Hotel & Spa,USA,36.40848,-93.73744,Sim,hotel,Eureka Springs,0,hotel
1905 Basin Park Hotel,USA,36.40232,-93.73703,Sim,hotel,Eureka Springs,0,hotel
The Palace Hotel Kota Kinabalu,Malaysia,5.97224,116.07373,Sim,hotel,Kota Kinabalu,0,hotel
DoubleTree by Hilton Košice,Slovakia,48.7174,21.2599,Sim,hotel,Košice,0,hotel
Hotel Grandis,Malaysia,5.98,116.07,Sim,hotel,Kota Kinabalu,0,hotel
The Desmond Malvern,USA,40.03,-75.51,Sim,hotel,Malvern,0,hotel
Hotel Lili Marleen,Germany,53.957,10.8624,Sim,hotel,Travemünde,0,hotel
5 Ojo Inn Bed and Breakfast,USA,36.4027,-93.7441,Sim,hotel,Eureka Springs,0,hotel
Maritim Travemünde,Germany,53.96155,10.88095,Sim,hotel,Travemünde,0,hotel
Grand Hotel Seeschlösschen,Germany,53.99389,10.79258,Sim,hotel,Timmendorfer Strand,0,hotel
The Klagan Regency,Malaysia,5.97223,116.07372,Sim,hotel,Kota Kinabalu,0,hotel
Boutique Hotel in Košice Old Town,Slovakia,48.72,21.26,Sim,hotel,Košice,0,hotel
Sabah Tea Resort,Malaysia,5.96717,116.59967,Sim,hotel,Ranau,0,hotel
Jr Resort Ranau,Malaysia,5.95242,116.66341,Sim,hotel,Ranau,0,hotel
Kowloon Shangri-La,Hong Kong,22.29699,114.17701,Sim,hotel,Hong Kong,0,hotel
Tulin Heritage Bungalow,India,23.20483,88.56172,Sim,hotel,Purulia,0,hotel
Kalyan Forest Resort,India,23.33219,86.36514,Sim,hotel,Purulia,0,hotel
Dream Hotel,India,23.32479,86.36737,Sim,hotel,Purulia,0,hotel
Allure de Baranti,India,23.58558,86.83057,Sim,hotel,Barhanti,0,hotel
Mahulban Hill Resort,India,23.5856,86.8306,Sim,hotel,Barhanti,0,hotel
Maritim Strandhotel Travemünde,Germany,53.96155,10.88095,Sim,hotel,Travemünde,0,hotel
A-ROSA Travemünde,Germany,53.96,10.88,Sim,hotel,Travemünde,0,hotel
Hotel Deutscher Kaiser,Germany,53.957,10.862,Sim,hotel,Travemünde,0,hotel
Lieblingsplatz Hotel Strandperle,Germany,53.96,10.88,Sim,hotel,Travemünde,0,hotel
Pension Strandhaus,Germany,53.96,10.88,Sim,hotel,Travemünde,0,hotel
Landhaus Bode,Germany,53.96,10.88,Sim,hotel,Travemünde,0,hotel
Hidden Springs Bed and Breakfast,USA,36.40888,-93.73452,Sim,hotel,Eureka Springs,0,hotel
Red Bud Manor,USA,36.40205,-93.74452,Sim,hotel,Eureka Springs,0,hotel
Heart of the Hills Inn,USA,36.40311,-93.74335,Sim,hotel,Eureka Springs,0,hotel
The Piedmont on Spring,USA,36.402,-93.737,Sim,hotel,Eureka Springs,0,hotel
Cliff Cottage Inn,USA,36.41,-93.733,Sim,hotel,Eureka Springs,0,hotel
Elmwood House,USA,36.4,-93.74,Sim,hotel,Eureka Springs,0,hotel
Benton Place Inn,USA,36.40093,-93.74043,Sim,hotel,Eureka Springs,0,hotel
General Warren Inne,USA,40.03,-75.51,Sim,hotel,Malvern,0,hotel
Hostel Ilha de Mosqueiro,Brazil,-1.06735,-48.38597,Sim,hotel,Belém,0,hotel
Mount Kinabalu Heritage Resort,Malaysia,5.98,116.6,Sim,hotel,Ranau,0,hotel
EAST Hong Kong,Hong Kong,22.29,114.21,Sim,hotel,Hong Kong,0,hotel
Penzión Hradbová,Slovakia,48.72,21.26,Sim,hotel,Košice,0,hotel
City Residence Apartment Hotel,Slovakia,48.72,21.26,Sim,hotel,Košice,0,hotel
Hotel Yasmin Kosice,Slovakia,48.72,21.26,Sim,hotel,Košice,0,hotel
Bristol Hotel,Slovakia,48.72,21.26,Sim,hotel,Košice,0,hotel
Boutique Slovakia Residence,Slovakia,48.72,21.26,Sim,hotel,Košice,0,hotel
Matha Forest Resort,India,23.2,86.1,Sim,hotel,Matha,0,hotel
Saffron Valley Hotels,India,23.33,86.36,Sim,hotel,Purulia,0,hotel
Subham Tourist Lodge,India,23.34,86.36,Sim,hotel,Barria,0,hotel
Bon Polashi Eco Hut,India,23.58,86.83,Sim,hotel,Baradi,0,hotel
Ajodhya Hill Arcade,India,23.26,86.5,Sim,hotel,Ajodhya,0,hotel
Garhpanchkot Eco Tourism,India,23.64,86.76,Sim,hotel,Puapur,0,hotel
Ajodhya Jungle Resort,India,23.265,86.499,Sim,hotel,Ajodhya,0,hotel
Spangle Wings Resort,India,23.575,86.843,Sim,hotel,Barhanti,0,hotel
Hotel Rupasi Bangla,India,23.33,86.36,Sim,hotel,Purulia,0,hotel
Palashgram Eco Resort,India,23.12,86.08,Sim,hotel,Matha,0,hotel
Garh Panchkot Eco Tourism Unit 2,India,23.6435,86.7628,Sim,hotel,Puapur,0,hotel